Turbine,Day,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,2.5,2.0,1.5
BR2-K001,2024-04-26,,4.0,7.0,5.0,4.0,1.0,1.0,,4.0,5.0,5.0,4.0,14.0,9.0,9.0,14.0,23.0,17.0,10.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,
BR2-K001,2024-04-27,,,4.0,5.0,13.0,9.0,12.0,3.0,2.0,2.0,,,,,,,3.0,3.0,6.0,7.0,15.0,7.0,8.0,7.0,7.0,7.0,5.0,1.0,,,,,,,,,,
BR2-K001,2024-04-28,,8.0,15.0,15.0,16.0,9.0,10.0,5.0,,3.0,7.0,9.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
BR2-K001,2024-04-29,4.0,16.0,13.0,8.0,9.0,25.0,19.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR2-K001,2024-04-30,1.0,3.0,15.0,8.0,13.0,12.0,18.0,12.0,12.0,8.0,2.0,4.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
BR2-K001,2024-05-01,,1.0,2.0,1.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR2-K003,2024-04-01,,3.0,5.0,5.0,3.0,6.0,2.0,3.0,3.0,1.0,6.0,3.0,6.0,3.0,4.0,4.0,11.0,3.0,6.0,2.0,,,,,,,,,,,,,,,,,,
BR2-K003,2024-04-02,,1.0,,,,,3.0,2.0,,,4.0,5.0,8.0,11.0,11.0,9.0,10.0,4.0,4.0,1.0,3.0,,,2.0,,,,,,,,,,,,,,
BR2-K003,2024-04-03,,,,2.0,1.0,6.0,8.0,9.0,8.0,3.0,21.0,8.0,7.0,7.0,9.0,7.0,2.0,2.0,5.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,
BR2-K003,2024-04-04,,,,,,,2.0,1.0,,5.0,3.0,4.0,4.0,8.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,4.0,1.0,3.0,,,,,,,,,,,,,
BR2-K003,2024-04-05,,,,,,,,1.0,1.0,3.0,2.0,12.0,12.0,12.0,15.0,11.0,13.0,13.0,11.0,8.0,7.0,8.0,2.0,8.0,3.0,,2.0,,,,,,,,,,,
BR2-K003,2024-04-06,,,,,,,3.0,11.0,8.0,14.0,12.0,4.0,4.0,7.0,7.0,9.0,8.0,18.0,11.0,15.0,7.0,3.0,2.0,1.0,,,,,,,,,,,,,,
BR2-K003,2024-04-07,,,2.0,1.0,7.0,9.0,10.0,4.0,6.0,5.0,10.0,2.0,6.0,8.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,
BR2-K003,2024-04-08,,,1.0,2.0,3.0,7.0,6.0,7.0,6.0,3.0,6.0,4.0,4.0,7.0,8.0,6.0,4.0,4.0,6.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
BR2-K003,2024-04-09,,,,5.0,6.0,5.0,2.0,,,,3.0,4.0,5.0,6.0,8.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
BR2-K003,2024-04-10,,5.0,1.0,6.0,10.0,5.0,7.0,8.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
