,Raw - Percent Missing,Raw - Count Missing,gradient_filtered_data - Percent Removed,gradient_filtered_data - Count Removed,range_filtered_data - Percent Removed,range_filtered_data - Count Removed,online_filtered_data_map - Percent Removed,online_filtered_data_map - Count Removed,Full Clean - Percent Missing,Full Clean - Count Missing
GNT-B004-IM-SHFT-BRG-TE-T-C,0.0,0,0.32407407407407407,14,0.0,0,4.722222222222222,204,5.046296296296297,218
GNT-B005-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.300925925925926,229,5.300925925925926,229
GNT-B006-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,8.726851851851853,377,8.726851851851853,377
GNT-B007-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,4.976851851851852,215,4.976851851851852,215
GNT-C001-IM-SHFT-BRG-TE-T-C,0.11574074074074073,5,0.0,0,0.0,0,7.430555555555555,321,7.546296296296297,326
GNT-C002-IM-SHFT-BRG-TE-T-C,0.0,0,0.9722222222222222,42,0.0,0,5.625,243,6.597222222222222,285
GNT-C003-IM-SHFT-BRG-TE-T-C,0.0,0,0.5092592592592593,22,0.0,0,5.162037037037037,223,5.671296296296297,245
GNT-C004-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,31.689814814814817,1369,31.689814814814817,1369
GNT-C005-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.046296296296297,218,5.046296296296297,218
GNT-C006-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.393518518518518,233,5.393518518518518,233
GNT-C007-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,4.861111111111112,210,4.861111111111112,210
GNT-C008-IM-SHFT-BRG-TE-T-C,0.0,0,0.4166666666666667,18,0.0,0,6.273148148148149,271,6.689814814814815,289
GNT-C009-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,6.157407407407407,266,6.157407407407407,266
GNT-C010-IM-SHFT-BRG-TE-T-C,0.0,0,0.23148148148148145,10,0.0,0,31.805555555555554,1374,32.03703703703704,1384
